front,back,tags,sources,decks,id
How can one turn unreasonable software into reasonable software?,"We make unreasonable software reasonable by turning each *belief* into either a *behavior* or a *property*. 

*Behaviors* are aspects of the software that can be validated empirically against an environment. 

*Properties* are aspects of the software that can be validated statically or through local exercise.","migrations,quality",https://lethain.com/reclaim-unreasonable-software/,Engineering Leadership,4BRkV3EskfD2LmvuEaem
What should be analyzed when determining service granularity?,*Granularity disintegrators* (when should I consider breaking services apart?) and *granularity integrators* (when should I consider putting services back together?).,"software architecture,service granularity",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,4LX58mLiTzxtsyT2EkkA
What three guiding principles for successful communication?,"**Principle 1. Set Your Communication Goal.**

A goal has three major parts: information, emotion, and action. The best metric of success is: Is your audience leaving knowing what you want them to know? Feeling how you want them to feel? And doing what you want them to do?

**Principle 2. Structure your message.** 

Using: What, So What, Now What.

**Principle 3. The Art of the Paraphrase.**

Using Paraphrasing to move a conversation forward.",guiding principles,Think Fast Talk Smart Podcast,Clear Communication,4VfzyovLv1iNk54OtzlR
When to use the *memento/snapshot pattern*?,"* When you want to produce snapshots of the object’s state to be able to restore a previous state of the object.

* When direct access to the object’s fields/getters/setters violates its encapsulation.","design patterns,behavioral patterns",https://refactoring.guru/design-patterns,Design Patterns,4b0F5RKdu5hbQUZTkl2X
Why is estimation important for software development?,"**Resource Allocation:** Estimations help prevent under- or over-commitment of resources. You don't want to leave your team stranded in a sea of unfinished tasks, nor do you want them twiddling their thumbs because you thought it'd take six months to build a simple feature. Get your estimations right, and you'll have a well-oiled machine of a development team.

**Collaboration:** Estimations create a shared understanding of the project size among team members and stakeholders. When everyone's on the same page about what needs to be done and when it's due, collaboration is more effective, and your team can focus on what they do best - writing kickass code.

**Sanity Check:** Estimations help you, as an engineering manager or startup founder, to maintain a semblance of sanity in the face of constant deadlines and deliverables. By knowing how long tasks should take, you can make informed decisions about priorities, allocate resources effectively, and maybe even get some sleep at night. A proper Gantt chart of deliverables can alleviate stress on the weekend.","estimation,planning,software development",https://vadimkravcenko.com/shorts/project-estimates,Effective Engineering,4hIYdKkjBIt03EM3OsQn
What are examples (7) of operational architecture characteristics?,"* Availability 
* Continuity (disaster recovery capability)
* Performance 
* Recoverability 
* Reliability/safety 
* Robustness 
* Scalability","software architecture,architectural characteristics",Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,4whVKzHQQFCUHmRZSE5O
What are the disadvantages of a data mesh?,"* Requires contract coordination with the data product quantum
* Requires async communication and eventual consistency","software architecture,data architecture",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,51jgpW6BYnGuhzGW9yeR
What is *deployability*?,"The ease, frequency and risk of deployment.",software architecture,Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,56o0uydF7qiKnhTLzDwn
What is the *frozen caveman anti-pattern*?,"A behavioral anti-pattern where an architecture always revert back to their pet irrational concern for every architecture. 

It is important to understand the difference between genuine and perceived technical risk.",software architecture,Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,5XSlVrln0FsHLnrgphsz
What are the disadvantages of choreographed coordination?,"* Distributed workflow 
* State management
* Error handling
* Recoverability","software architecture,distributed workflow management",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,5cOXLBmA4i3PNdTKLvno
What is the *flyweight pattern*?,It is a structural design pattern that lets you fit more objects into the available amount of RAM by sharing common parts of state between multiple objects instead of keeping all of the data in each object.,"design patterns,structural patterns",https://refactoring.guru/design-patterns/adapter,Design Patterns,5kv87nyYswjV9rS3Ukjk
What are the three disadvantages of technical partitioning?,"* Higher degree of global coupling
* Developers may have to duplicate domain concepts
* Higher coupling on data level","software architecture,partitioning",Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,5nfAxJ3omhx3D0rbrWda
What are the trade-offs with tactical forking?,"Benefits:
* Teams can start working right away with little up-front analysis.
* Easier to delete code than to extract it.

Shortcomings:
* Resulting services will contain large amount of latent code.
* Code inside new service will inherit all problems with original code.
* Inconsistencies might arise from different naming of shared components, making it hard to identify common code.","software architecture,decomposition",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,5rYIGxPQZuPIhENrZMvg
What are seven reasons carrots and sticks do not work?,"1. They can extinguish intrinsic motivation. 
2. They can diminish performance. 
3. They can crush creativity. 
4. They can crowed out good behavior. 
5. They can encourage cheating, shortcuts, and unethical behavior. 
6. They can become addictive. 
7. They can foster short-term thinking.",motivation,Drive by Daniel Pink,Motivation,5thsGhPRejUvSCOnzF6j
What is the rule of thumb when it comes to data ownership for services?,The service that performs write operations on the table owns it.,"software architecture,data architecture",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,63PVpouLGjf5XOdJwZcA
What is the *adapter pattern*?,It is a structural design pattern that allows objects with incompatible interfaces to collaborate.,"design patterns,structural patterns",https://refactoring.guru/design-patterns/adapter,Design Patterns,67X1V4nqCr3RbAvjHvmH
What is a tactic to combat hallucinations?,"First ask the model to find the relevant information, then ask it to answer the question based on the relevant information.","prompt engineering,limitations",learn.deeplearning.ai/chatgpt-prompt-eng,Prompt Engineering,6Ex6hYtk36Jm6w1vvJF9
What fitness functions for governance can be implemented as part of the *Create Component Domains Pattern*?,* All namespaces under <root namespace node> should be restricted to <list of domains>,"software architecture,decomposition,architectural fitness function",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,6n0TJ169Ygq6fEiczOl4
What are the advantages of a data lake?,"* Less structured than a data warehouse
* Less up-front transformation
* Better suited for distributed architectures","software architecture,data architecture",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,6xgzke7eyIlECjL0u4PY
What is the *Gather Common Domain Components Pattern*?,"The purpose of the pattern is to identify and collect common domain logic and centralize into a single component. The component can become either a shared service or a shared library.

Applying this pattern is mostly a manual process, but hints can be found by investigating filenames and e.g., if a class is found to be shared among several components.","software architecture,decomposition",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,70SDL04a3wy7oeOb989V
What is the *common closure principle*?,*Gather into components those classes that change for the same reasons and at the same times. Separate into different components those classes that change at different times and for different reasons.*,"software architecture,cohesion",Clean Architecture by Robert C. Martin,Software Architecture,73EFWEVyU6GlwgkhAGe6
What are the two main data integrators?,"* Data relationships - are there foreign keys, triggers or views that form close relationships between the tables
* Data transactions - is a single transactional unit of work necessary to ensure data integrity and consistency","software architecture,data architecture",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,752rXCR2O08BCGSIs7G7
What is the *the common reuse principle*?,*Do not force users of a component to depend on things they do not need.*,"software architecture,cohesion",Clean Architecture by Robert C. Martin,Software Architecture,7681xNzfvI18zDEMFqFq
When to use the *proxy pattern*?,"* Lazy initialization (virtual proxy). This is when you have a heavyweight service object that wastes system resources by being always up, even though you only need it from time to time.

* Access control (protection proxy). This is when you want only specific clients to be able to use the service object; for instance, when your objects are crucial parts of an operating system and clients are various launched applications (including malicious ones).

* Local execution of a remote service (remote proxy). This is when the service object is located on a remote server.

* Caching request results (caching proxy). This is when you need to cache results of client requests and manage the life cycle of this cache, especially if results are quite large.

* Smart reference. This is when you need to be able to dismiss a heavyweight object once there are no clients that use it.","design patterns,structural patterns",https://refactoring.guru/design-patterns/adapter,Design Patterns,7OBE6LTBngkpC9nnPIuv
What is the *state pattern*?,It is a behavioral design pattern that lets an object alter its behavior when its internal state changes. It appears as if the object changed its class.,"design patterns,behavioral patterns",https://refactoring.guru/design-patterns,Design Patterns,7SozRcwy2Ie0rBfXegIt
What is the *design payoff line*?,"In the *Design Stamina Hypothesis*, the design payoff line is the amount of functionality below which it is possible to trade off design quality for time to market.","software architecture,technical debt",https://martinfowler.com/bliki/DesignPayoffLine.html,Software Architecture,7nvO1XTL4P5QU3703nkq
What four kind of filters exist in the *pipeline architecture style*?,"* Producer - starting point of a process.
* Transformer - accepts input, performs a transformation on the data and forwards it to the outbound pipe (*map* in functional programming).
* Tester - Accepts input, tests a set of criteria, then optionally produces output (*reduce* in functional programming). 
* Consumer - The termination point for a pipeline flow.","software architecture,architecture styles",Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,87w4ieU58F7oNd3AfHyx
What is regression testing?,"Regression testing (rarely, non-regression testing) is re-running functional and non-functional tests to ensure that previously developed and tested software still performs after a change. If not, that would be called a regression.","software engineering,testing",https://en.wikipedia.org/wiki/Regression_testing,Software Architecture,8GBKbNMjTvPWmz4qVAnY
What is the *the user-first* principle?,"The most important UX principle is understanding users. Understanding users involves researching and analyzing your target audience’s needs, preferences, and behaviors. By understanding your users, you can design products that meet their needs and solve their problems. This principle involves conducting user research, creating user personas, and performing usability testing to ensure your product is user-friendly and effective.","UX,principles",https://blog.openreplay.com/ux-best-practices-for-developers/,User Experience,8GSkLzCcIKfQnBtyWuz4
What is the Cumulative Layout Shift?,CLS is a measure of the largest burst of layout shift scores for every unexpected layout shift that occurs during the entire lifespan of a page. Should be 0.1 or less.,"web vitals,performance,measurement",https://web.dev/cls/,Web App Architecture,95F9W1zNDoosj6oT0RK7
What are *structural design patterns*?,"Structural design patterns explain how to assemble objects and classes into larger structures, while keeping these structures flexible and efficient.","design patterns,structural patterns",https://refactoring.guru/design-patterns,Design Patterns,A9lSdsp51PTWouAgLQCl
What is software architecture?,"The combination of structure, architectural characteristics, architectural decisions and design principles.",software architecture,Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,ADweJhxM4hCOVYKlLVyu
When to use the *facade pattern*?,"* When you need to have a limited but straightforward interface to a complex subsystem.

* When you want to structure a subsystem into layers.","design patterns,structural patterns",https://refactoring.guru/design-patterns/adapter,Design Patterns,APfBSGa9GVwGjN0931ML
What is a state machine?,A pattern that describes all possible paths that can exist within a distributed architecture. It can be used to managed the state of a workflow instead of issuing *compensating updates* and/or using *stamp coupling*.,"software architecture,transactional sagas",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,AhqtGr1Day2tbnqNm71z
When to use the *builder* pattern?,"* To get rid of a “telescoping constructor”.

* When you want your code to be able to create different representations of some product (for example, stone and wooden houses).

* To construct *composite trees* or other complex objects.","design pattern,creational pattern",https://refactoring.guru/design-patterns/what-is-pattern,Design Patterns,AmOvvinpD0OuSrWviTeb
What should be analyzed when decomposing data?,*Data disintegrators* (drivers that justify breaking apart data) and data integrators (drivers that justify keeping data together).,"software architecture,data architecture",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,AmxH7G4EkqnBNe1mO3OQ
What are the advantages of consumer-driven contracts?,"* Allow loose coupling between services 
* Allow variability in strictness 
* Evolvable","software architecture,contracts",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,AsnbfueZk874RlheZRtS
What are the disadvantages of a data warehouse?,"* Extreme partitioning of the domain knowledge
* Integration brittleness
* Complexity
* Limited functionality for intended purpose","software architecture,data architecture",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,B3ysKYt2RqXKBgIv5CKm
What are two pros and three cons of data sovereignty per service?,"Pros
* Change management (teams can change the schema without affecting other domains)
* Performance (each team can use the database type optimized for their use case)

Cons
* Performance (issue can happen when services require large amounts of data)
* Bad data quality (referential integrity cannot be maintained across domain, which might result in poor quality data)
* Bigger/more complex services (all database code/logic must be moved to the service layer)","software architecture,data architecture",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,B6JXnXXTKsziKxTM6N8s
What is the second law of software architecture?,*Why* is more important than *how*.,software architecture,Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,B7ysYjf4EnOAbynjT7ry
What is cognitive distortion?,"A cognitive distortion is an exaggerated or irrational thought pattern involved in the onset or perpetuation of psychopathological states, such as depression and anxiety.","mental health,cognitive distortion",https://en.m.wikipedia.org/wiki/Cognitive_distortion,Mindfulness,B8IPsr3wnU9NveaxfDR1
What metrics does Laura Tacho suggest a scaling company start with?,"* **Deployment frequency**

* **Lead time** – it’s easier to maintain a fully automated CI/CD pipeline than to add it later, trust me!

* **Developer onboarding** – I usually measure “time to first commit” or a perceptive metric asking “how long until you felt you were up to speed”

* **Number of incidents**

* **Satisfaction** with developer tools and working environment","engineering productivity,metrics,dora,space",https://newsletter.pragmaticengineer.com/p/engineering-productivity,Effective Engineering,B9hL4X6fjz7tXbKsEPAA
What is a data domain?,"A data domain is a collection of coupled database artifacts - tables, views, foreign keys, and triggers - that are all related to a particular domain and frequently used together within a limited functional scope.

There can be no relationships between artifacts in different data domains.","software architecture,data architecture",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,BJ5rWroKhYUhwjHdL19E
What is the *design stamina hypothesis*?,"Design activities certainly do take up time and effort, but they payoff because they make it easier to evolve the software into the future. 

You can save short-term time by neglecting design, but this accumulates technical debt which will slow your productivity later. 

Putting effort into to the design of your software improves the stamina of your project, allowing you to go faster for longer.

Imagine a graph with cumulative functionality on the y-axis and time on the x-axis. Then draw one linear line and one line with diminishing returns. Where they meet is the design payoff line.","software architecture,technical debt",https://martinfowler.com/bliki/DesignStaminaHypothesis.html,Software Architecture,BKqbci6r8bZose5ntHos
What is the fourth level of mind?,"The Simultaneous Mind

Awake awareness embodied is when spacious awake awareness remains spacious and primary but also knows itself as inherently within, including the alive energy in the body and seeing from the very subtle mind. The simultaneous mind is able to experience emptiness, fullness, boundlessness, and distinction.","meditation,open-hearted awareness,buddhism,happiness,effortless mindfulness",Shift Into Freedom by Loch Kelly,Mindfulness,BNF6pFZmtmcSnsvdxTDj
What are the important ingredients to protect REST APIs?,"* Input Validations
* CORS
* Rate limiting
* TLS
* Idempotence
* Auth
* Logging","security,rest,api",https://blog.devgenius.io/best-practice-and-cheat-sheet-for-rest-api-design-6a6e12dfa89f,Software Security,BSitXeqRLPpVBrWfQrEm
What are *QUANTS*?,"Five components of engineering productivity defined by Google:

** Quality of the code** 
What is the quality of the code produced? Are the test cases good enough to prevent regressions? How good is an architecture at mitigating risk and changes?

**Attention from engineers**
How frequently do engineers reach a state of flow? How much are they distracted by notifications? Does a tool encourage engineers to context switch?

**Intellectual complexity**
How much cognitive load is required to complete a task? What is the inherent complexity of the problem being solved? Do engineers need to deal with unnecessary complexity?

**Tempo and velocity**
How quickly can engineers accomplish their tasks? How fast can they push their releases out? How many tasks do they complete in a given timeframe?

**Satisfaction**
How happy are engineers with their tools? How well does a tool meet engineers’ needs? How satisfied are they with their work and their end product? Are engineers feeling burned out?","engineering productivity,quants",https://medium.com/oreillymedia/measuring-engineering-productivity-a6da8605ffae,Effective Engineering,BT4DpU3YShPfVKgWB456
What is the *Horror Story Pattern*?,"A pattern that is asynchronous, atomic and choreographed. Don't do it. The pattern features medium coupling, very high complexity, low availability and medium scalability.","software architecture,transactional sagas",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,Bmm2CTXl1grk83qr8Jdy
What four parts should people have autonomy over in motivation 3.0?,"* Task
* Time
* Technique 
* Team",motivation,Drive by Daniel Pink,Motivation,C6SdYcEO8ayng06SbRDK
What is the TEB cycle?,"TEB stands for thoughts, emotions and behavior. It is a way to understand what's happening in the brain, and to slow down the brain so you’re more equipped to break the spinning cycle of anxiety. 

Just the pause itself is helpful. You’re activating your prefrontal cortex, the thinking part of your brain, you’re slowing down the hijack by the limbic system.","mental health,cognitive distortion",https://www.tenpercent.com/meditationweeklyblog/anxiety,Mindfulness,CJ15SGO4in2ho4UIOA9I
What is the *navigation* principle?,"Navigation involves designing simple user interfaces to browse and comprehend. Navigation entails offering a clear hierarchy of information, clear and consistent labeling, and logical content organization. Navigation also entails clearly stating calls to action and delivering feedback on user activities to aid users in understanding their location within the interface.","UX,principles",https://blog.openreplay.com/ux-best-practices-for-developers/,User Experience,CbKtTDuxTWoG8EkZpTMR
When to use the *composite/object tree pattern*?,"* When you have to implement a tree-like object structure.

* When you want the client code to treat both simple and complex elements uniformly.","design patterns,structural patterns",https://refactoring.guru/design-patterns/adapter,Design Patterns,DS3MeusAbb5JMQnEikl3
What are two types of *top-level partitioning*?,"* Modular
* Layered","software architecture,partitioning",Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,EKT09qLrOUUkSadVMmhB
What four measures does Will Larson use to measure *engineering impact*?,"* **# big bets**. These are new, differentiated features released to users. While some parts of this are a shared goal across pretty much all organizations within the company, we hold ourselves accountable as one of (if not the) core constraints to delivery.

* **# experiments**. How many features and optimizations have we tested, with a target distribution for winning, neutral, and losing outcomes. There is a set target to help balance quantity and ambition.

* **# fires**. How many incidents have we had? We’re not trying to drive this to a target, rather are trying to avoid a slope change. Overall, I do believe fires are important to factor into overall productivity as a countervailing measure.

* **1-2 technical investments**. How many technical investments or explorations are we doing? Organizations have a limited bandwidth to absorb technical changes, so we grade ourselves on having a few but not many.","impact,measurement,engineering",https://lethain.com/measures-of-engineering-impact/,Effective Engineering,EM106ECwuYduA1xLHjJE
What does *BASE* stand for in transactions?,"* Basic availability - all services in a distributed transaction are expected to be available to participate

* Soft state - the situation in a distribution transaction where a request has started but not yet completed 

* Eventual consistency - given enough time all parts of a distributed transaction will complete successfully","software architecture,data architecture",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,EQ5n2P1kDG2KrqzFe9vY
What are the disadvantages of loose contracts?,"* Contract management - risk of misspelled names, missing key-value pairs, etc. 
* Requires fitness functions - to address challenges with contract management, fitness functions are required, eg consumer-driven contracts","software architecture,contracts",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,EVD9V3MTEzvMJBDvpxae
What is the *reuse/release equivalent principle*?,"*The granule of reuse is the granule of release.*

Classes and modules that are grouped in a module should be releasable together. It should make sense that they are grouped, both for users and developers.","software architecture,cohesion",Clean Architecture by Robert C. Martin,Software Architecture,EaPfrsKySHqRPpGhCNMU
What are the four possible approaches to the joint data ownership scenario?,"* Table split technique - break the table into two separate tables
* Data domain technique - create a shared data domain to which the table (but not the services!) belong
* Delegate technique - one service is assigned ownership, the other services write indirectly to the table through the owner service
* Service consolidation technique - merge the services into one who then owns the table","software architecture,data architecture",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,F4C0nsMgx4NDS3G6KzIl
Which five ideas underpin effective strategy for software development?,"* Testability
* Deployability
* Speed
* Controlling the Variables
* Continuous Delivery","software engineering,strategy,performance",Modern Software Engineering by David Farley,Effective Engineering,F8ePKYUNUxn4jIvwPA7G
Why is it important to consider styling in *micro frontends*?,"Because styling from different micro frontends can collide and override the styling of other elements on the page.

Approaches to mitigating this include BEM, SASS, CSS modules, CSS-in-JS or shadow DOM.","software architecture,micro frontends",https://martinfowler.com/articles/micro-frontends.html,Software Architecture,FSUSlJopJ9Xv287hic8a
How can we develop *grit*?,"* Find out what interest you. 
* Once you found an interest go all in. Engage in focused practice and set clear goals. 
* Think about the big picture. Why are you doing the thing your doing? Your purpose?
* Cultivate a growth mindset.","grit,motivation",A slight change of plan podcast: Made not born,Motivation,Fegd4nbQYy0S5ZKt8oqL
Do the *DORA* metrics measure the productivity of teams and/or individuals?,"No, they aren’t intended to measure the productivity of teams and certainly never to measure individuals' productivity. 

They began as a way to benchmark DevOps adoption across the industry and measure the *performance* of delivery practices.","engineering productivity,dora,metrics",https://newsletter.pragmaticengineer.com/p/engineering-productivity,Effective Engineering,Fivl9Be2dcAbNoWkdZhB
How to measure *mean time to recovery (MTTR)*?,"At the very basic level, MTTR is a measurement of the average (mean) total time elapsed between when the defect impacts production and the time when that defect is repaired for all customers. 

MTTR = downtime/number of incidents","engineering productivity,dora,metrics",https://lauratacho.com/blog/how-do-you-actually-measure-mttr,Effective Engineering,Fni37ujVIXJtfMVsLzgS
What are the advantages of mutation testing?,Mutation testing is a powerful way to test the accuracy and effectiveness of a software’s test suite.,"software engineering,testing",,Software Architecture,FuaVvqhGXN6nc9yDzPbJ
When to use the *visitor pattern*?,"* When you need to perform an operation on all elements of a complex object structure (for example, an object tree).

* To clean up the business logic of auxiliary behaviors.

* When a behavior makes sense only in some classes of a class hierarchy, but not in others.","design patterns,behavioral patterns",https://refactoring.guru/design-patterns,Design Patterns,GAEgBMstyOJDDoE1jaAs
Is it generally a good idea to include information in contracts that a service might eventually need?,"No, this is typically an anti-pattern, which creates unnecessary coupling for little benefit. Strive to keep contracts at a “need to know” level.","software architecture,contracts",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,GUEbkoIKVDu8qK2JeIFZ
What are the business drivers of modularity?,"* Competitive advantage
* Speed-to-market
* Agility","software architecture,modularity",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,GYApzRNu6z7LC6fvFmyB
What are three architecture decision anti-patterns?,"* Covering your assets - avoiding or deferring the decision out of fear of making the wrong choice.

* Groundhog day - a decision is not properly justified and communicated, leading it to be discussed over and over again.

* Email-driven architecture - decisions are effectively communicated using e.g., email, but not documented properly, leading to people forgetting or losing overview of the decisions made.",software architecture,Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,GbIpIF0UXO9zKTzkWCFO
What five capabilities in *culture* drive improvements in software delivery performance?,"* Support a generative culture (as outlined by Westrum).
* Encourage and support learning.
* Support and facilitate collaboration among teams.
* Provide resources and tools that make work meaningful.
* Support or embody transformational leadership (comprised of five factors: vision, intellectual stimulation, inspirational communication, supportive leadership, personal recognition).","software engineering,performance,culture",Accelerate by Nicole Forsgren et al.,Effective Engineering,GmXNZdXhTC6QW4Y01RNL
What is the purpose of *component tests*?,"To limit the scope of the exercised software to a portion of the system under test, manipulating the system through internal code interfaces and using test doubles to isolate the code under test from other components.","testing,quality assurance,component tests",https://martinfowler.com/articles/microservice-testing/fallback.html,Testing Strategies,GpOui5aMNKIYlDMGuSJ5
What are five possible approaches to integrate micro frontends into one page?,"* Server-side template composition
* Build-time integration (not recommended as it creates a **lockstep release process**)
* Run-time integration via iframes
* Run-time integration via JavaScript (recommended due to flexibility)
* Run-time integration via *Web Components*","software architecture,micro frontends",https://martinfowler.com/articles/micro-frontends.html,Software Architecture,Gz2Kr8YxAerle3f0Ngu8
What is the *microkernel architecture style*?,"It is a monolithic architecture that consists of two components: *core system* and *plug-ins*. Application logic is divided between independent plug-ins and the basic core system, providing extensibility, adaptability and isolation of application features and custom processing logic.","software architecture,architecture styles",Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,GzmD5h0Tfu2aEBadyc2z
What are the advantages of a data mesh?,"* Highly suitable for microservices architectures
* Follows modern architecture principles and engineering practices
* Allows excellent decoupling between analytical and operational data
* Carefully formed contracts allow loosely coupled evolution of analytical capabilities","software architecture,data architecture",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,H2Fgd6ij4cx5RtrzYMF7
When to use the *flyweight pattern*?,* Only when your program must support a huge number of objects which barely fit into available RAM.,"design patterns,structural patterns",https://refactoring.guru/design-patterns/adapter,Design Patterns,H32aWv5Zp7YAgYoYbVYY
What are the sections of an ADR?,"*ADR: A short noun phrase containing the architecture decision*

*Context*
One- or two-sentence description of the problem, and a list of the alternative solutions.

*Decision*
State the architecture decision and provide a detailed justification of the decision.

*Consequences*
Briefly describe any consequences after the decision is applied, and also discuss the trade-offs that were considered.","software architecture,architectural decision records",Software Architecture: The Hard Parts by Neil Ford et al.,Software Architecture,H9BiukYwObbXIOLvsgJI
When to use the *layered architecture style*?,"Works well for small, simple applications or websites. It is familiar to many and features low cost. It can also be a good starting point if requirements for the best style are very unclear.

It is not a style well suited for larger and more complex applications, since maintainability, testability, agility and deployability usually suffers with the layered architecture style.","software architecture,architecture styles",Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,HZehayAR6l1w3MykGDe5
When should one use the *factory* method?,"* When you don’t know beforehand the exact types and dependencies of the objects your code should work with.

* When you want to provide users of your library or framework with a way to extend its internal components.

* When you want to save system resources by reusing existing objects instead of rebuilding them each time.","design pattern,creational pattern",https://refactoring.guru/design-patterns/what-is-pattern,Design Patterns,HbWbbIG3MbGz00msz9v8
What is the *prototype* pattern?,It is a creational design pattern that lets you copy existing objects without making your code dependent on their classes.,"design pattern,creational pattern",https://refactoring.guru/design-patterns/what-is-pattern,Design Patterns,HgUEeZH058fe5XJqkdsu
What are some tactics for *writing clear and specific instructions*?,"1. Use delimiters
2. Ask for structured output
3. Check whether conditions are satisfied (i.e., give instructions like ‘if this is satisfied do X, if not do Y’)
4. Few shot prompting (i.e., give it some examples of successful tasks)","principles,prompt engineering",learn.deeplearning.ai/chatgpt-prompt-eng,Prompt Engineering,HshwLAu0GzPhpBcZCOAB
What fitness functions for governance can be implemented as part of the *Gather Common Domain Components Pattern*?,"* Find common names in leaf nodes of component namespace
* Find common code across components","software architecture,decomposition,architectural fitness function",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,I5OWVlasnNkk07FKhbmI
How can the effectiveness of software development teams be measured?,"* Stability
* Throughput","software engineering,measurement,performance",Modern Software Engineering by David Farley,Effective Engineering,I9UULDB1S5JpCEZf4mJk
What are *technical vectors*?,"Effective organizations marshal the majority of their efforts toward a shared vision. 

If you plot every technical decision as a vector on a grid (i.e., a technical vector), the more those vectors point in the same direction, the more you'll accomplish over time.","quality,engineering leadership",https://staffeng.com/guides/manage-technical-quality,Engineering Leadership,IKpdJwqGGTRcLfuNYT0c
What are the trade-offs for the sidecar pattern as a reuse pattern?,"### Pros
* Offers a consistent way to create isolated coupling
* Allows consistent infrastructure coordination
* Ownership per team, centralized, or some combination

### Cons
* Must implement a sidecar per platform
* Sidecar component may grow large/complex","software architecture,reuse code",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,ILP6CzdVPi5D0JHMx1Rk
What are four patterns for distributed data access?,"* Interservice communication pattern - ask the service owner for the data
* Column schema replication pattern - replicated columns between tables
* Replicated caching pattern - replicate a distributed cache of the table
* Data domain pattern - create a share data domain (i.e., a shared schema)","software architecture,data architecture",Software Architecture: The Hard Parts by Neal Ford et al.,Software Architecture,IZcz3RAzzbe2PgRkg9e4
When to use *service-based architecture style*?,"In general a very pragmatic architecture that works for many use cases. It fits domain-driven design well, is relatively scalable but less complex than microservices as to the monolithic database allows for ACID transactions.","software architecture,architecture styles",Fundamentals of Software Architecture by Neal Ford et al.,Software Architecture,JTSF7BJ44hKXD2bHdzO8
What is the fifth level of mind?,"The Open-Hearted Awareness 

Open-hearted awareness is the knowing from heart mindfulness. The feeling of not being a separate self leads to wellbeing and interconnectedness with all people and all things as a field of love and wisdom, in the flow of ordinary life.","meditation,happiness,buddhism,open-hearted awareness,effortless mindfulness",Shift Into Freedom by Loch Kelly,Mindfulness,JV7XBOfTPgjLpFIN89EU
What is the best way to manage shared component libraries in *micro frontends*?,"Letting anyone contribute to the library but having a designated custodian (person or team) who is responsible for ensuring the quality, consistency, and validity of those contributions.","software architecture,micro frontends",https://martinfowler.com/articles/micro-frontends.html,Software Architecture,JWen4jo4AHQzHqFY6GBf
What are the five principles behind SOLID?,"* Single Responsibility: A class should only have one responsibility.
* Open-Closed: Software objects (classes, modules, etc.) should be open for extension but closed for modification, allowing predictable, maintainable code.
* Liskov Substitution: Subtypes must be substitutable for their base types without affecting the correctness of the program.
* Interface Segregation: Code shouldn’t be dependent on giant interfaces in which they don’t use all of it. Instead, packages should both contain and allow smaller, specific interfaces to be importable.
* Dependency Inversion: High-level modules should not depend on low-level modules; both should depend on abstractions, fostering a more flexible and decoupled system design.","software architecture,solid","https://en.wikipedia.org/wiki/SOLID
https://engineercodex.substack.com/p/7-simple-habits-of-the-top-1-of-engineers",Software Architecture,JkytHFeZiptdfFO5Z8lo
What is *rate limiting*?,"In computer networks, rate limiting is used to control the rate of requests sent or received by a network interface controller. It can be used to prevent DoS attacks and limit web scraping.

Research indicates flooding rates for one zombie machine are in excess of 20 HTTP GET requests per second, legitimate rates much less.","security,rest,api",https://blog.devgenius.io/best-practice-and-cheat-sheet-for-rest-api-design-6a6e12dfa89f,Software Security,JmEDwm4IAG6W7bxpoM0s
